season,neutral,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,status
2019,0,1588.8979314484302,1455.1313699353302,0.7584485193045968,0.2415514806954032,1560.45369029,1519.1959068,174.95826892169998,191.50216646682,0.64018164190049,0.35981835809951,-36.62708336166,74.72930727437999,loser
2019,0,1455.2490727518698,1602.07742712331,0.3843696760480505,0.6156303239519496,1483.65036114,1607.64637546,171.83710458023998,221.81181064877998,0.41564481890163,0.58435518109837,88.35474029019001,433.18748048763,loser
2019,0,1519.37877240763,1598.0156662167099,0.4803850039945628,0.5196149960054373,1513.58846646,1590.22702089,177.31618401155998,154.32404567943001,0.475029617040791,0.5249703829592091,49.375757289540005,64.16422839651,loser
2019,0,1538.42395425995,1520.31582461035,0.6173720777976055,0.3826279222023945,1539.6925517000002,1522.49852923,175.32515266035,230.53827939219,0.5928448333876171,0.407155166612383,127.86158094567,210.62268581706002,winner
2019,0,1415.1787618705896,1570.53924891259,0.3728155749111197,0.6271844250888803,1375.95596601,1536.47249803,160.81186355025,122.90448728976,0.387249691884048,0.612750308115952,21.07686282999,422.47978220778,loser
2019,0,1581.51355925233,1441.02179176339,0.7654698543324963,0.2345301456675037,1583.23304804,1423.636541,183.50919280716,139.2241339764,0.774389549700803,0.225610450299197,355.5442720071,364.28900623137,winner
2019,0,1455.8864013780499,1518.90720352913,0.5028482638546541,0.4971517361453459,1508.71831839,1502.78808137,172.00309333647,129.5163322233,0.601345066440458,0.3986549335595421,-11.008486035029998,197.93253113403,loser
2019,0,1384.9664423594104,1448.4236815067902,0.5022201967461954,0.4977798032538046,1451.59103106,1462.67407273,115.48441421451,151.00717007078995,0.546113784234279,0.453886215765721,112.06274153547,182.00507213987999,loser
2019,0,1565.41164859357,1428.5335151432998,0.7617148036094071,0.2382851963905929,1543.85670887,1414.9584852,177.20464685318996,123.09229599084,0.7538397022753249,0.246160297724675,111.43732831407,295.65058110918,winner
2019,0,1585.75191800581,1561.0745652996698,0.6262644674526644,0.3737355325473356,1582.6904467,1506.97499853,167.62204809537,108.20605277163,0.7188047422770931,0.281195257722907,244.62140254497,218.17424115827998,winner
2019,0,1444.77266859125,1422.63182461207,0.622840671248458,0.3771593287515421,1443.86845344,1478.88925548,170.58036357383997,141.95677213575001,0.545569286351451,0.454430713648549,-75.78212156526,68.89315865652,loser
2019,0,1546.63760540507,1442.7255357616,0.7255848739644275,0.2744151260355725,1542.74175158,1424.9675833,181.38183186585,135.95389421196,0.7429302987116179,0.257069701288382,503.57367942882,262.38319656251997,winner
2019,0,1383.74042223536,1490.51940926969,0.4401633388787813,0.5598366611212187,1383.75510633,1463.42003565,112.90158,141.23856869066998,0.489629651407836,0.510370348592164,75.82058549736,328.50198406311,tie
2019,0,1640.8564881095801,1572.19321967273,0.6833970641922035,0.3166029358077965,1635.07731396,1557.3313847000004,215.65951980507,250.02469046477998,0.676629407595253,0.323370592404747,348.13987120704,116.71156967382,winner
2019,0,1610.9366031700501,1515.3885309722698,0.7158948727512396,0.2841051272487604,1596.19850233,1526.88088289,224.38122753617995,191.75953761821998,0.675670166156079,0.324329833843921,319.0173400062,225.13956202518003,winner
2019,0,1405.4406177886099,1449.16419458668,0.5305810160650128,0.4694189839349872,1416.51391312,1459.85271934,137.09006674538998,146.88498461570998,0.5139418521582921,0.4860581478417079,294.57440500586995,151.0267941039,winner
2019,0,1506.1417229805402,1409.6477113929502,0.7170010787278287,0.2829989212721713,1500.52099662284,1413.8871489440899,164.522141339358,145.94411505993,0.702107007310583,0.297892992689417,55.184791739319,111.08230799230948,loser
2019,0,1433.33531739672,1561.64531234901,0.4098848002257198,0.5901151997742802,1416.26919381389,1556.70976057135,161.73062120189698,213.60101662214691,0.377841001056838,0.622158998943162,226.460327750019,428.48334942236994,loser
2019,0,1488.69448229988,1599.7273602922198,0.43413830208607945,0.5658616979139206,1463.10375582292,1592.8789915703,159.964910227914,175.32198354033,0.4091456366065089,0.590854363393491,196.011820115991,139.31584723811702,winner
2019,0,1509.57066983197,1435.1777713469598,0.6904897727363537,0.3095102272636463,1520.14500043432,1461.72834082481,195.09754005891602,32.64624,0.8040204442401659,0.195979555759834,24.074397478873497,189.182764021515,winner
2019,0,1551.69443581324,1568.43733721152,0.569004376445462,0.430995623554538,1536.34583409146,1546.99212376182,236.693378385684,170.62791499927798,0.5845381849800311,0.415461815019969,28.714343069346032,322.4491686623129,loser
2019,0,1598.55771020712,1385.56534920517,0.8320536957330441,0.1679463042669559,1565.7116129954902,1384.07138615708,152.86201678156198,109.19348054973601,0.805901795378283,0.194098204621717,402.7931758755796,184.65931070411548,winner
2019,0,1489.8072705220402,1559.31605609263,0.4935117002032231,0.5064882997967771,1547.0893099924695,1562.0989197160502,179.824880547576,170.57879548888198,0.5572255473562221,0.442774452643778,200.057842541832,17.970561822047998,winner
2019,0,1387.1603005760599,1661.35527196907,0.23072481027334826,0.7692751897266518,1346.71685104451,1656.0628645685401,146.83836347822398,228.90755494526692,0.186361076599538,0.813638923400462,-186.157717794246,256.122084113016,loser
2019,0,1425.50782652535,1457.7567818103698,0.5469934314024829,0.4530065685975171,1411.82307030818,1508.87055997591,140.34812450267398,134.65041078782698,0.46643944126743,0.53356055873257,135.873275528628,277.10175291399145,loser
